Entree,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Category,Restaurant
Asiago Ranch Club w/ Homestyle Chicken,690,324,36,12,0,95,1630,56,4,9,35,beef,wendys
Asiago Ranch Club w/SpicyChicken,710,333,37,12,0,110,1630,57,3,9,40,chicken,wendys
Asiago Ranch Club w/Ultimate Chicken Grill,570,243,27,10,0,125,1530,41,3,9,42,chicken,wendys
Bacon Queso Burger,550,290,32,14,1.5,110,1140,36,2,7,33,beef,wendys
Bacon Queso Chicken Sandwich,590,250,27,9,0,105,1600,53,2,7,37,chicken,wendys
Baconator Single,660,360,40,17,2,120,1440,40,2,9,36,beef,wendys
"Cheeseburger, Kids' Meal",290,117,13,6,1,45,750,25,1,5,17,beef,wendys
Chicken Go Wrap w/ Grilled Chicken,260,90,10,4,0,50,730,25,1,3,19,chicken,wendys
Chicken Go Wrap w/ Homestyle Chicken,320,144,16,5,0,35,770,30,1,1,15,chicken,wendys
Chicken Go Wrap w/ Spicy Chicken,340,144,16,5,0,45,770,31,1,1,17,chicken,wendys
Crispy Chicken BLT,440,220,24,7,0,55,950,37,1,5,20,chicken,wendys
Crispy Chicken Sandwich,380,180,20,4,0,35,720,37,2,4,15,chicken,wendys
Dave's Double Cheeseburger,800,432,48,21,3,175,1530,42,3,10,50,beef,wendys
Dave's Single Cheeseburger,580,297,33,14,2,105,1240,42,3,10,31,beef,wendys
Dave's Triple Cheeseburger,1060,603,67,30,4,255,2020,42,3,10,72,beef,wendys
Double Stack,400,189,21,9,2,85,1080,26,1,5,27,beef,wendys
Fresh Mozzarella Chicken Sandwich,420,120,14,6,0,120,910,34,2,6,41,chicken,wendys
Giant Junior Bacon Cheeseburger (JBC),570,340,38,15,1.5,125,1290,26,1,6,33,beef,wendys
Grilled Chicken Sandwich,360,80,8,1.5,0,90,820,38,3,11,35,chicken,wendys
"Hamburger, Kids' Meal",250,90,10,4,1,35,540,25,1,5,15,beef,wendys
Homestyle Chicken Fillet Sandwich,510,189,21,6,0,60,1140,54,4,8,26,chicken,wendys
Jalapeno Fresco Spicy Chicken Sandwich,590,260,29,9,0.5,100,1370,51,2,6,34,chicken,wendys
Jr. Bacon Cheeseburger (JBC),380,200,22,8,1,65,850,26,1,5,19,beef,wendys
Jr. Cheeseburger,290,117,13,6,1,45,820,26,1,5,17,beef,wendys
Jr. Cheeseburger Deluxe,350,171,19,7,1,55,850,27,2,6,17,beef,wendys
Jr. Hamburger,250,90,10,4,1,35,620,25,1,5,15,beef,wendys
Kids Grilled Chicken Wrap,260,90,10,3.5,0,55,740,25,1,3,19,chicken,wendys
Premium Cod Sandwich,480,207,23,4,0,40,970,51,3,6,18,fish,wendys
Son of Baconator,700,387,43,18,1.5,130,1760,40,2,9,39,beef,wendys
Spicy Chicken Fillet Sandwich,530,198,22,6,0,75,1140,55,3,8,31,chicken,wendys
Chicken Nuggets 10 Piece,450,270,30,7,0,75,870,24,2,0,23,chicken,wendys
Chicken Nuggets 4 Piece,180,117,13,2.5,0,30,390,10,1,0,10,chicken,wendys
Chicken Nuggets 6 Piece,270,162,18,4,0,45,520,14,1,0,14,chicken,wendys
Chicken Nuggets Kids' Meal,180,99,11,3,0,25,370,11,1,1,8,chicken,wendys
Chicken Tenders 3 Piece,300,130,14,2.5,0,70,920,20,0,0,22,chicken,wendys
Chicken Tenders 4 Piece,400,170,19,3,0,90,1230,26,0,1,29,chicken,wendys
Spicy Chicken Nuggets 10 Piece,430,252,28,6,0,80,1240,23,2,0,25,chicken,wendys
Spicy Chicken Nuggets 4 Piece,190,108,12,2.5,0,30,550,10,1,0,9,chicken,wendys
Spicy Chicken Nuggets 6 Piece,280,162,18,4,0,45,830,15,2,0,14,chicken,wendys
Taco Salad Full Size,660,290,32,13,1,85,1820,63,10,18,32,salad,wendys
Taco Salad Half Size,470,210,23,8,0.5,45,1320,49,7,12,19,salad,wendys
Power Mediterranean Chicken Salad Half,230,70,8,2,0,55,630,21,5,10,20,salad,wendys
Power Mediterranean Chicken Salad Whole,430,130,14,4,0,115,1220,38,8,18,39,salad,wendys
Apple Pecan Chicken Salad Full,340,99,11,7,0,105,1150,28,5,20,35,salad,wendys
Apple Pecan Chicken Salad Half,180,54,6,3.5,0,55,490,14,3,9,18,salad,wendys
Garden Side Salad,25,0,0,0,0,0,30,5,2,3,1,salad,wendys
Fries Large,530,225,25,5,0,0,570,68,7,0,6,side,wendys
Fries Medium,420,189,21,4,0,0,460,55,6,0,5,side,wendys
Fries Small,320,130,15,2.5,0,0,320,43,4,0,5,side,wendys
Fries Value,230,99,11,3,0,0,250,30,3,0,3,side,wendys
Plain Baked Potato,270,0,0,0,0,0,25,61,7,3,7,side,wendys
Sour Cream & Chives Baked Potato,320,36,4,2,0,10,50,63,7,4,8,side,wendys
Bacon & Cheese Baked Potato,540,207,23,11,0.5,65,890,66,7,5,22,side,wendys
Broccoli & Cheese Baked Potato,440,126,14,8,0.5,40,510,67,8,6,16,side,wendys
Chili Large,310,81,9,4,1,60,1330,31,10,10,26,side,wendys
Chili Small,210,54,6,3,0,40,880,21,6,6,17,side,wendys
Apple Slices,40,0,0,0,0,0,0,9,2,7,0,side,wendys
"Chocolate Frosty, Small",300,72,8,5,0,30,140,49,0,42,7,dessert,wendys
"Vanilla Frosty, Small",280,63,7,5,0,30,135,47,0,40,7,dessert,wendys
Bacon Cheeseburger,330,140,16,7,0,55,830,32,1,7,18,beef,burgerking
Bacon Cheeseburger Deluxe,290,120,14,6,0.5,40,720,28,1,7,12,beef,burgerking
Bacon King,1040,630,48,28,2.5,220,1900,48,1,10,57,beef,burgerking
Bacon King Jr,730,351,39,9,0,90,1930,63,,16,32,beef,burgerking
BBQ Bacon King,1100,675,75,29,3,220,1850,51,,13,57,beef,burgerking
Cheeseburger,300,130,14,6,0,45,710,28,1,6,16,beef,burgerking
Double Bacon Cheeseburger,520,280,31,14,1,105,1180,33,1,8,31,beef,burgerking
Double Cheeseburger,450,230,26,12,1,95,960,29,1,6,26,beef,burgerking
Double Hamburger,360,160,18,8,0,70,520,28,1,6,22,beef,burgerking
Double Quarter Pound King,900,486,54,25,3,210,1740,50,2,11,56,beef,burgerking
Farmhouse King,1220,720,80,28,3,335,2050,62,,15,,beef,burgerking
Hamburger,260,90,10,4,0,35,490,28,1,6,13,beef,burgerking
Rodeo King,1250,738,82,31,3.5,230,2270,69,,14,60,beef,burgerking
DOUBLE WHOPPER w/ Cheese,990,580,65,24,2,160,1480,53,3,11,52,beef,burgerking
DOUBLE WHOPPER w/o Cheese,900,510,57,19,2,140,1050,51,3,11,47,beef,burgerking
WHOPPER w/ Cheese,760,430,47,16,1,100,1410,53,3,11,33,beef,burgerking
WHOPPER w/o Cheese,670,360,40,11,1,75,980,51,3,11,29,beef,burgerking
WHOPPER JR. w/ Cheese,380,210,23,8,1,55,730,29,2,6,16,beef,burgerking
WHOPPER JR. w/o Cheese,340,170,19,5,0,40,510,28,2,6,14,beef,burgerking
